"CodComune";"Comune";"Provincia";"TipoIstituto";"CodiceScuola";"Denominazione";"CodiceIstituto";"DenominazioneIstituto";"Alunni";"Hand";"Classi";"Ciclo";"annoScolastico";"ComuneIstituto";"CodComuneIstituto"
"083004";"ANTILLO";"MESSINA";;"MEEE88904L";"S.S.S.CRUPI- ANTILLO";"MEIC88900B";"I.C.S.TERESA DI RIVA";"33";"1";"2";"Primario";"2021-2022";"SANTA TERESA DI RIVA";"083089"
"084003";"ARAGONA";"AGRIGENTO";;"AGEE84602C";"CAPUANA";"AGIC846009";"IC - L. CAPUANA";"78";"2";"5";"Primario";"2021-2022";"ARAGONA";"084003"
"084003";"ARAGONA";"AGRIGENTO";;"AGEE84603D";"SCIFO";"AGIC846009";"IC - L. CAPUANA";"90";"2";"6";"Primario";"2021-2022";"ARAGONA";"084003"
"084003";"ARAGONA";"AGRIGENTO";;"AGEE84604E";"ARCIPRETE GIUSEPPE TERRANOVA";"AGIC846009";"IC - L. CAPUANA";"226";"4";"15";"Primario";"2021-2022";"ARAGONA";"084003"
"086003";"ASSORO";"ENNA";;"ENEE80501T";"I. RICCIOLI";"ENIC80500Q";"'E.PANTANO' (ASSORO)";"125";"6";"9";"Primario";"2021-2022";"ASSORO";"086003"
"086003";"ASSORO";"ENNA";;"ENEE80502V";"G.PESTALOZZI";"ENIC80500Q";"'E.PANTANO' (ASSORO)";"26";"0";"2";"Primario";"2021-2022";"ASSORO";"086003"
"089001";"AUGUSTA";"SIRACUSA";;"SREE81401D";"II I.C. O. M. CORBINO AUGUSTA";"SRIC81400B";"II I.C. O. M. CORBINO AUGUSTA";"297";"10";"15";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE81403G";"II I.C. O. M. CORBINO AUGUSTA";"SRIC81400B";"II I.C. O. M. CORBINO AUGUSTA";"64";"0";"4";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE83001B";"III I.C. S. TODARO AUGUSTA";"SRIC830009";"III I.C. S. TODARO AUGUSTA";"230";"8";"13";"Primario";"2021-2022";"AUGUSTA";"089001"
"089001";"AUGUSTA";"SIRACUSA";;"SREE83002C";"III I.C. S. TODARO AUGUSTA";"SRIC830009";"III I.C. S. TODARO AUGUSTA";"82";"7";"5";"Primario";"2021-2022";"AUGUSTA";"089001"
