CodiceScuola,Alunni,Hand,Classi,annoScolastico
AGEE83201D,135,5,8,2021-2022
AGEE83203G,83,5,5,2021-2022
MEEE84205C,56,6,5,2021-2022
PAEE8AH037,45,6,5,2021-2022
PAEE834013,316,11,18,2021-2022
RGEE80701D,212,7,10,2021-2022
RGEE80702E,114,4,7,2021-2022
RGEE83001E,161,3,9,2021-2022
RGEE83003L,140,0,8,2021-2022
MEEE83704X,58,2,5,2021-2022
AGEE805037,31,1,2,2021-2022
AGEE81001L,250,16,15,2021-2022
AGEE81002N,7,0,1,2021-2022
PAEE81002G,152,11,10,2021-2022
MEEE81804E,25,2,2,2021-2022
SREE83601A,289,19,15,2021-2022
SREE838012,139,6,8,2021-2022
SREE838023,89,7,5,2021-2022
SREE852018,276,17,15,2021-2022
ENEE82202L,286,15,18,2021-2022
ENEE82203N,138,7,9,2021-2022
ENEE82204P,158,5,10,2021-2022
PAEE81601D,133,4,8,2021-2022
PAEE81602E,115,5,7,2021-2022
MEEE886045,90,2,5,2021-2022
MEEE878035,9,0,1,2021-2022
MEEE878046,25,0,3,2021-2022
AGEE83303B,196,7,10,2021-2022
AGEE83304C,296,11,15,2021-2022
AGEE834015,380,18,20,2021-2022
AGEE848013,192,6,12,2021-2022
AGEE848046,108,7,6,2021-2022
AGEE848057,126,5,8,2021-2022
AGEE848068,46,7,3,2021-2022
CTEE808045,118,9,8,2021-2022
MEEE886078,15,0,1,2021-2022
CTEE83201V,155,2,9,2021-2022
CTEE83202X,97,3,5,2021-2022
MEEE81701G,11,1,1,2021-2022
MEEE81702L,41,1,4,2021-2022
MEEE81703N,62,2,5,2021-2022
MEEE81704P,75,2,5,2021-2022
MEEE81801B,232,10,13,2021-2022
MEEE81806L,9,0,1,2021-2022
MEEE81807N,12,0,1,2021-2022
MEEE81808P,26,1,2,2021-2022
MEEE81810T,6,0,1,2021-2022
MEEE84701B,40,0,4,2021-2022
AGEE826027,84,1,5,2021-2022
CTEE81201N,153,9,9,2021-2022
MEEE81805G,38,0,3,2021-2022
MEEE835048,6,0,1,2021-2022
MEEE83207X,22,0,2,2021-2022
CTEE80602B,225,9,10,2021-2022
CLEE80404R,56,3,5,2021-2022
PAEE839027,245,10,13,2021-2022
PAEE839038,48,1,3,2021-2022
TPEE04601T,210,2,13,2021-2022
TPEE04612A,225,7,13,2021-2022
TPEE049019,61,2,5,2021-2022
TPEE04906E,69,2,5,2021-2022
TPEE04908L,137,4,9,2021-2022
TPEE049162,152,7,9,2021-2022
TPEE816011,108,6,7,2021-2022
TPEE816022,96,3,6,2021-2022
TPEE81701R,62,8,5,2021-2022
TPEE81702T,80,2,5,2021-2022
TPEE81704X,74,12,5,2021-2022
TPEE817051,44,1,4,2021-2022
TPEE817062,37,2,3,2021-2022
TPEE82001L,79,7,5,2021-2022
TPEE82002N,117,8,7,2021-2022
TPEE82003P,66,7,4,2021-2022
TPEE82005R,27,3,3,2021-2022
TPEE82006T,64,3,4,2021-2022
TPEE82007V,56,3,4,2021-2022
TPEE82101C,64,5,5,2021-2022
TPEE82102D,79,5,5,2021-2022
